id,deputy_name,consignment_name,url,income_sum
99110967,Зубарев Виктор Владиславович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110967/,5414608
99112916,Горелкин Антон Вадимович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112916/,5413159
99110097,Фокин Александр Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110097/,5410155
99103008,Коломейцев Николай Васильевич,КПРФ,http://duma.gov.ru/duma/persons/99103008/,5409369
99112837,Поляков Александр Алексеевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112837/,5404740
99100788,Шеин Олег Васильевич,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99100788/,5394973
99112802,Лященко Алексей Вадимович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112802/,5388059
99111067,Тумусов Федот Семёнович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99111067/,5350201
99112573,Ооржак Мерген Дадар-оолович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112573/,5324591
99112841,Ревенко Евгений Васильевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112841/,5322079
99112481,Шерин Александр Николаевич,ЛДПР,http://duma.gov.ru/duma/persons/99112481/,5294277
99112791,Кувычко Анна Александровна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112791/,5293332
99112783,Козенко Андрей Дмитриевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112783/,5287216
99112850,Сапко Игорь Вячеславович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112850/,5279780
99112893,Щаблыкин Максим Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112893/,5278164
99110948,Делимханов Адам Султанович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110948/,5263758
99111079,Черкасов Кирилл Игоревич,ЛДПР,http://duma.gov.ru/duma/persons/99111079/,5246661
99107891,Миронов Сергей Михайлович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99107891/,5236316
99110957,Железняк Сергей Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110957/,5222233
99112831,Пашин Виталий Львович,ЛДПР,http://duma.gov.ru/duma/persons/99112831/,5221980
99112771,Иванов Максим Анатольевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112771/,5216253
99111867,Кривоносов Сергей Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111867/,5209664
99112738,Боташев Расул Борисович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112738/,5184032
99112817,Николаев Николай Петрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112817/,5180583
99112859,Скриванов Дмитрий Станиславович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112859/,5172854
99109943,Ткачев Алексей Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109943/,5114758
99107896,Игнатов Виктор Александрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99107896/,5059273
99112789,Красноштанов Алексей Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112789/,5058216
99112770,Зобнев Виктор Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112770/,5008716
